"","sib1","sib2","sib3","sib4","sib5","sib6","Country","family","id"
"1","Brian Sutter","Darryl Sutter","Duane Sutter","Brent Sutter","Rich Sutter","Ron Sutter","Canada","Sutter",1
"2","Georges Boucher","Billy Boucher","Frank Boucher","Robert Boucher",NA,NA,"Canada","Boucher",2
"3","Eric Staal","Marc Staal","Jordan Staal","Jared Staal",NA,NA,"Canada","Staal",3
"4","Curt Bennett","Harvey Bennett","Bill Bennett",NA,NA,NA,"United States","Bennett",4
"5","Reg Bentley","Doug Bentley","Max Bentley",NA,NA,NA,"Canada","Bentley",5
"6","Christian Bordeleau","J.P. Bordeleau","Paulin Bordeleau",NA,NA,NA,"Canada,  France","Bordeleau",6
"7","Neal Broten","Aaron Broten","Paul Broten",NA,NA,NA,"United States","Broten",7
"8","Paul Comrie","Mike Comrie","Eric Comrie",NA,NA,NA,"Canada","Comrie",8
"9","Lionel Conacher","Charlie Conacher","Roy Conacher",NA,NA,NA,"Canada","Conacher",9
"10","Bill Cook","Bun Cook","Bud Cook",NA,NA,NA,"Canada","Cook",10
"11","Bob Crawford","Marc Crawford","Lou Crawford",NA,NA,NA,"Canada","Crawford",11
"12","Brian Cullen","Barry Cullen","Ray Cullen",NA,NA,NA,"Canada","Cullen",12
"13","Peter Dineen","Gord Dineen","Kevin Dineen",NA,NA,NA,"Canada,  United States","Dineen",13
"14","Paul Evans","Doug Evans","Kevin Evans",NA,NA,NA,"Canada","Evans",14
"15","Wayne Gretzky","Keith Gretzky","Brent Gretzky",NA,NA,NA,"Canada","Gretzky",15
"16","Ray Hannigan","Gord Hannigan","Pat Hannigan",NA,NA,NA,"Canada","Hannigan",16
"17","Bryan Hextall","Jr. Hextall","Dennis Hextall",NA,NA,NA,"Canada","Hextall",17
"18","Floyd Hillman","Larry Hillman","Wayne Hillman",NA,NA,NA,"Canada","Hillman",18
"19","Quinn Hughes","Jack Hughes","Luke Hughes",NA,NA,NA,"United States","Hughes",19
"20","Dave Hunter","Dale Hunter","Mark Hunter",NA,NA,NA,"Canada","Hunter",20
"21","Quinn Hutson","Lane Hutson","Cole Hutson",NA,NA,NA,"United States","Hutson",21
"22","Hec Kilrea","Wally Kilrea","Ken Kilrea",NA,NA,NA,"Canada","Kilrea",22
"23","Jack Leswick","Pete Leswick","Tony Leswick",NA,NA,NA,"Canada","Leswick",23
"24","Jamie McGinn","Tye McGinn","Brock McGinn",NA,NA,NA,"Canada","McGinn",24
"25","Kelly Miller","Kevin Miller","Kip Miller",NA,NA,NA,"United States","Miller",25
"26","Barclay Plager","Bob Plager","Bill Plager",NA,NA,NA,"Canada","Plager",26
"27","Marcel Pronovost","Claude Pronovost","Jean Pronovost",NA,NA,NA,"Canada","Pronovost",27
"28","Max Reinhart","Griffin Reinhart","Sam Reinhart",NA,NA,NA,"Canada","Reinhart",28
"29","Rollie Rousseau","Guy Rousseau","Bobby Rousseau",NA,NA,NA,"Canada","Rousseau",29
"30","Jack Stanfield","Fred Stanfield","Jim Stanfield",NA,NA,NA,"Canada","Stanfield",30
"31","Marian Stastny","Peter Stastny","Anton Stastny",NA,NA,NA,"Czechoslovakia(now  Slovakia)","Stastny",31
"32","Mike Stuart","Mark Stuart","Colin Stuart",NA,NA,NA,"United States","Stuart",32
"33","George Allen","Viv Allen",NA,NA,NA,NA,"Canada","Allen",33
"34","Dave Allison","Mike Allison",NA,NA,NA,NA,"Canada","Allison",34
"35","Mikey Anderson","Joey Anderson",NA,NA,NA,NA,"United States","Anderson",35
"36","Mikael Andersson","Niklas Andersson",NA,NA,NA,NA,"Sweden","Andersson",36
"37","Ty Arbour","Jack Arbour",NA,NA,NA,NA,"Canada","Arbour",37
"38","Wayne Babych","Dave Babych",NA,NA,NA,NA,"Canada","Babych",38
"39","Morgan Barron","Justin Barron",NA,NA,NA,NA,"Canada","Barron",39
"40","Fred Barrett","John Barrett",NA,NA,NA,NA,"Canada","Barrett",40
"41","Frank Bathgate","Andy Bathgate",NA,NA,NA,NA,"Canada","Bathgate",41
"42","Joe Bell","Gordie Bell",NA,NA,NA,NA,"Canada","Bell",42
"43","Jordie Benn","Jamie Benn",NA,NA,NA,NA,"Canada","Benn",43
"44","Jim Benning","Brian Benning",NA,NA,NA,NA,"Canada","Benning",44
"45","Doug Berry","Ken Berry",NA,NA,NA,NA,"Canada","Berry",45
"46","Alex Biega","Danny Biega",NA,NA,NA,NA,"Canada","Biega",46
"47","Martin Biron","Mathieu Biron",NA,NA,NA,NA,"Canada","Biron",47
"48","Chuck Blair","George Blair",NA,NA,NA,NA,"Canada","Blair",48
"49","Jean Bourcier","Conrad Bourcier",NA,NA,NA,NA,"Canada","Bourcier",49
"50","Chris Bourque","Ryan Bourque",NA,NA,NA,NA,"United States","Bourque",50
"51","Jesper Boqvist","Adam Boqvist",NA,NA,NA,NA,"Sweden","Boqvist",51
"52","Len Broderick","Ken Broderick",NA,NA,NA,NA,"Canada","Broderick",52
"53","Wade Brookbank","Sheldon Brookbank",NA,NA,NA,NA,"Canada","Brookbank",53
"54","Doug Brown","Greg Brown",NA,NA,NA,NA,"United States","Brown",54
"55","Jack Brownschidle","Jeff Brownschidle",NA,NA,NA,NA,"United States","Brownschidle",55
"56","Mud Bruneteau","Ed Bruneteau",NA,NA,NA,NA,"Canada","Bruneteau",56
"57","Pavel Bure","Valeri Bure",NA,NA,NA,NA,"Russia","Bure",57
"58","Ron Busniuk","Mike Busniuk",NA,NA,NA,NA,"Canada","Busniuk",58
"59","Viacheslav Butsayev","Yuri Butsayev",NA,NA,NA,NA,"Russia","Butsayev",59
"60","Jack Caffery","Terry Caffery",NA,NA,NA,NA,"Canada","Caffery",60
"61","Drew Callander","Jock Callander",NA,NA,NA,NA,"Canada","Callander",61
"62","Tony Camazzola","Jim Camazzola",NA,NA,NA,NA,"Canada","Camazzola",62
"63","Jack Capuano","Dave Capuano",NA,NA,NA,NA,"United States","Capuano",63
"64","Jack Carlson","Steve Carlson",NA,NA,NA,NA,"United States","Carlson",64
"65","Sam Carrick","Trevor Carrick",NA,NA,NA,NA,"Canada","Carrick",65
"66","Bill Carse","Bob Carse",NA,NA,NA,NA,"Canada","Carse",66
"67","Noah Cates","Jackson Cates",NA,NA,NA,NA,"United States","Cates",67
"68","Gino Cavallini","Paul Cavallini",NA,NA,NA,NA,"Canada","Cavallini",68
"69","Don Cherry","Dick Cherry",NA,NA,NA,NA,"Canada","Cherry",69
"70","Brandt Clarke","Graeme Clarke",NA,NA,NA,NA,"Canada","Clarke",70
"71","Sprague Cleghorn","Odie Cleghorn",NA,NA,NA,NA,"Canada","Cleghorn",71
"72","Sylvain Cloutier","Dan Cloutier",NA,NA,NA,NA,"Canada","Cloutier",72
"73","Neil Colville","Mac Colville",NA,NA,NA,NA,"Canada","Colville",73
"74","Les Costello","Murray Costello",NA,NA,NA,NA,"Canada","Costello",74
"75","Geoff Courtnall","Russ Courtnall",NA,NA,NA,NA,"Canada","Courtnall",75
"76","Bruce Crowder","Keith Crowder",NA,NA,NA,NA,"Canada","Crowder",76
"77","Matt Cullen","Mark Cullen",NA,NA,NA,NA,"United States","Cullen",77
"78","Kirby Dach","Colton Dach",NA,NA,NA,NA,"Canada","Dach",78
"79","Nick Damore","Hank Damore",NA,NA,NA,NA,"Canada","Damore",79
"80","Jack Darragh","Harold Darragh",NA,NA,NA,NA,"Canada","Darragh",80
"81","Cy Denneny","Corbett Denneny",NA,NA,NA,NA,"Canada","Denneny",81
"82","Wayne Dillon","Gary Dillon",NA,NA,NA,NA,"Canada","Dillon",82
